booking_id,passenger_id,flight_key,flight_id,booking_date,status,status_quality_flag,seat_number,passport_number_hash,emergency_contact_name_masked,emergency_contact_phone_masked
B1094,SP0001,FK00068,UK004,2026-01-07 11:37:36.951,PENDING,OK,24C,db835fec2e464b5c,C.,+91-********89
B1095,SP0001,FK00086,6F194,2025-07-30 11:37:36.951,CONFIRMED,OK,14B,2afadeba88e9425e,C.,+91-********90
B1096,SP0001,FK00088,UK068,2026-01-03 11:37:36.951,PENDING,OK,12B,5815d2cc16aefa5c,C.,+91-********91
B1100,SP0001,FK00090,UK077,2026-03-05 11:37:36.951,CONFIRMED,OK,16D,a354cb97d9103b97,C.,+91-********92
B1103,SP0001,FK00084,AI242,2025-08-08 11:37:36.951,CANCELLED,OK,20D,9f22ecb509ad264d,C.,+91-********93
B1104,SP0001,FK00084,AI242,2025-09-12 11:37:36.951,CANCELLED,OK,16E,d4ae9230b739bf01,C.,+91-********94
B1106,SP0001,FK00087,UK063,2025-09-01 11:37:36.951,CONFIRMED,OK,21F,031cc74934caa487,C.,+91-********95
B1108,SP0001,FK00091,UK207,2025-10-11 11:37:36.951,CANCELLED,OK,14B,b5bd941d4fe2df5e,C.,+91-********96
B1114,SP0001,FK00099,6F123,2025-09-26 11:37:36.951,CANCELLED,OK,2E,e9f1df1f1faebd27,C.,+91-********97
B1118,SP0001,FK00093,UK109,2026-04-03 11:37:36.951,CONFIRMED,OK,34B,2f6bb8ce48245948,C.,+91-********98
B1123,SP0001,FK00098,6F097,2025-09-23 11:37:36.951,CONFIRMED,OK,8A,f1e82f4273581cae,C.,+91-********99
B1126,SP0120,FK00095,AI072,2025-10-20 11:37:36.951,CONFIRMED,OK,10E,227f5ce7d8008ac5,C.,+91-********00
