booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_quality_flag,passport_number_hash,emergency_contact_phone_masked,emergency_contact_name_masked
B1035,SP0001,6F251,2025-08-21 11:37:36.951,PENDING,11D,OK,0cd9a09732fa397d,+91-********36,C.
B1036,SP0001,SJ149,2025-11-24 11:37:36.951,PENDING,5B,OK,51087947c2e3c884,+91-********37,C.
B1037,SP0001,AI188,2026-03-20 11:37:36.951,PENDING,33E,OK,274d2e1555a2f7c6,+91-********38,C.
B1038,SP0001,SJ093,2026-01-01 11:37:36.951,PENDING,12D,OK,41eaa47f555f8d27,+91-********39,C.
B1039,SP0001,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,OK,734e81f904a83d06,+91-********40,C.
B1040,SP0001,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,OK,38d63e0a7499ee35,+91-********41,C.
B1041,SP0043,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,OK,89202fc753f1bf41,+91-********42,C.
B1042,SP0001,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,OK,aa59ec699e347d32,+91-********43,C.
B1043,SP0001,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,OK,bc9ee84f3e1188fc,+91-********44,C.
B1044,SP0001,6F174,2026-04-12 11:37:36.951,PENDING,16C,OK,485266a7196158a6,+91-********45,C.
B1045,SP0059,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,IMPUTED_UNKNOWN_STATUS,5e0e7abb93527d9c,+91-********46,C.
B1046,SP0001,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,OK,69bbc2dccef29f4e,+91-********47,C.
B1047,SP0001,6F151,2025-12-29 11:37:36.951,PENDING,7C,OK,3590ffee29571ea4,+91-********48,C.
B1048,SP0001,SJ236,2025-09-19 11:37:36.951,PENDING,18C,OK,81aa533835b0fd57,+91-********49,C.
B1049,SP0074,SJ153,2025-07-28 11:37:36.951,UNKNOWN,3C,IMPUTED_UNKNOWN_STATUS,ab6d6f7b942c6dc3,+91-********50,C.
B1050,SP0001,AI220,2026-01-15 11:37:36.951,PENDING,7D,OK,ec8aeb0dda52214f,+91-********51,C.
B1051,SP0001,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,OK,ed943ab089f551a7,+91-********52,C.
B1052,SP0134,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,OK,74fb77a9e8eed038,+91-********53,C.
B1053,SP0001,UK216,2026-04-01 11:37:36.951,PENDING,28B,OK,4de89538cc38afc1,+91-********54,C.
B1054,SP0001,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,OK,c7139fad5f89f6f2,+91-********55,C.
B1055,SP0001,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,OK,bcc289627e9978a5,+91-********56,C.
B1056,SP0001,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,OK,0dd8b7ffdf17c214,+91-********57,C.
B1057,SP0001,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,OK,225c5f326535cb26,+91-********58,C.
B1058,SP0001,SJ043,2025-12-07 11:37:36.951,PENDING,8C,OK,7feac76d42ba2fa8,+91-********59,C.
B1059,SP0130,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,OK,8c522f8c2d06e63a,+91-********60,C.
B1060,SP0068,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,OK,bdc2dd47c9ae6807,+91-********61,C.
B1061,SP0006,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,OK,e466c47fdc4b7f5a,+91-********62,C.
B1062,SP0001,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,OK,71665838f8997d8a,+91-********63,C.
B1063,SP0001,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,OK,48665ad7ad2e29c4,+91-********64,C.
B1064,SP0001,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,OK,5b7b142d1a90f934,+91-********65,C.
B1065,SP0001,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,OK,431a4a03553dde76,+91-********66,C.
B1066,SP0001,SJ003,2025-11-05 11:37:36.951,PENDING,1B,OK,484daed9a845208a,+91-********67,C.
B1067,SP0001,SJ160,2025-07-23 11:37:36.951,PENDING,7F,OK,83db90f2e7bfdd1a,+91-********68,C.
B1068,SP0001,UK224,2025-11-22 11:37:36.951,PENDING,23A,OK,14d5bfd4da8997ef,+91-********69,C.
B1069,SP0083,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,OK,a93542be5616b455,+91-********70,C.
B1071,SP0002,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,OK,bed004f208843573,+91-********71,C.
B1072,SP0001,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,OK,3c3e2fedfd324af5,+91-********72,C.
B1075,SP0001,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,OK,89cf9766d85ac90b,+91-********73,C.
B1076,SP0105,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,OK,c328fae6ef9a3a8b,+91-********74,C.
B1077,SP0001,UK181,2025-05-03 11:37:36.951,PENDING,3A,OK,c8a806f91da83c9c,+91-********75,C.
B1080,SP0001,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,OK,78d5285c28ae9f97,+91-********76,C.
B1081,SP0001,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,OK,2a4788c984e68566,+91-********77,C.
B1082,SP0001,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,OK,9fa82622d66bf651,+91-********78,C.
B1083,SP0001,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,OK,649a2cacfc189482,+91-********79,C.
B1084,SP0001,6F270,2025-06-14 11:37:36.951,PENDING,16E,OK,917268966bb8984d,+91-********80,C.
B1085,SP0122,UK150,2026-03-24 11:37:36.951,PENDING,12A,OK,8eda52f1e8519cc3,+91-********81,C.
B1086,SP0001,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,OK,31cafd6909aa4a75,+91-********82,C.
B1087,SP0001,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,OK,47ecdd6d8d8f1b5f,+91-********83,C.
B1088,SP0001,SJ081,2026-03-25 11:37:36.951,PENDING,31A,OK,2f4de196c27d0729,+91-********84,C.
B1090,SP0001,SJ068,2025-05-16 11:37:36.951,PENDING,31C,OK,906cb1de9f50f03e,+91-********85,C.
B1091,SP0001,6F043,2025-08-18 11:37:36.951,PENDING,25D,OK,a382d62997522719,+91-********86,C.
B1092,SP0047,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,OK,c3dda24d1989d013,+91-********87,C.
B1093,SP0001,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,OK,99bf0bbcc2ac88d7,+91-********88,C.
B1094,SP0001,UK004,2026-01-07 11:37:36.951,PENDING,24C,OK,db835fec2e464b5c,+91-********89,C.
B1095,SP0001,6F194,2025-07-30 11:37:36.951,CONFIRMED,14B,OK,2afadeba88e9425e,+91-********90,C.
B1096,SP0001,UK068,2026-01-03 11:37:36.951,PENDING,12B,OK,5815d2cc16aefa5c,+91-********91,C.
B1100,SP0001,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,OK,a354cb97d9103b97,+91-********92,C.
B1103,SP0001,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,OK,9f22ecb509ad264d,+91-********93,C.
B1104,SP0001,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,OK,d4ae9230b739bf01,+91-********94,C.
B1106,SP0001,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,OK,031cc74934caa487,+91-********95,C.
B1108,SP0001,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,OK,b5bd941d4fe2df5e,+91-********96,C.
B1114,SP0001,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,OK,e9f1df1f1faebd27,+91-********97,C.
B1118,SP0001,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,OK,2f6bb8ce48245948,+91-********98,C.
B1123,SP0001,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,OK,f1e82f4273581cae,+91-********99,C.
B1126,SP0120,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,OK,227f5ce7d8008ac5,+91-********00,C.
