booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1018,SP0014,6F196,2026-03-25 11:37:36.951,CANCELLED,SAMPLEPASS00019,19B,Contact019 Sample,+91-9100000019
B1019,SP0001,6F164,2025-07-31 11:37:36.951,CANCELLED,SAMPLEPASS00020,19A,Contact020 Sample,+91-9100000020
B1020,SP0001,SJ112,2025-12-06 11:37:36.951,CONFIRMED,SAMPLEPASS00021,27B,Contact021 Sample,+91-9100000021
B1021,SP0001,6F190,2025-12-07 11:37:36.951,CANCELLED,SAMPLEPASS00022,4E,Contact022 Sample,+91-9100000022
B1022,SP0074,AI080,2026-03-25 11:37:36.951,CONFIRMED,SAMPLEPASS00023,16F,Contact023 Sample,+91-9100000023
B1023,SP0001,6F213,2026-02-03 11:37:36.951,PENDING,SAMPLEPASS00024,24B,Contact024 Sample,+91-9100000024
B1024,SP0001,AI115,2025-06-21 11:37:36.951,PENDING,SAMPLEPASS00025,30F,Contact025 Sample,+91-9100000025
B1025,SP0001,SJ049,2026-03-18 11:37:36.951,PENDING,SAMPLEPASS00026,1B,Contact026 Sample,+91-9100000026
B1026,SP0001,AI058,2025-06-27 11:37:36.951,CONFIRMED,SAMPLEPASS00027,32C,Contact027 Sample,+91-9100000027
B1027,SP0001,UK036,2025-07-25 11:37:36.951,CONFIRMED,SAMPLEPASS00028,22A,Contact028 Sample,+91-9100000028
B1028,SP0001,SJ239,2025-05-25 11:37:36.951,CANCELLED,SAMPLEPASS00029,26E,Contact029 Sample,+91-9100000029
B1029,SP0001,6F025,2025-06-06 11:37:36.951,CANCELLED,SAMPLEPASS00030,19C,Contact030 Sample,+91-9100000030
B1030,SP0001,6F236,2026-03-18 11:37:36.951,CANCELLED,SAMPLEPASS00031,21E,Contact031 Sample,+91-9100000031
B1031,SP0001,AI060,2025-11-16 11:37:36.951,CANCELLED,SAMPLEPASS00032,1E,Contact032 Sample,+91-9100000032
B1032,SP0001,UK021,2025-09-03 11:37:36.951,CANCELLED,SAMPLEPASS00033,18E,Contact033 Sample,+91-9100000033
B1033,SP0001,UK026,2025-05-06 11:37:36.951,,SAMPLEPASS00034,19A,Contact034 Sample,+91-9100000034
B1034,SP0001,SJ179,2025-12-31 11:37:36.951,CONFIRMED,SAMPLEPASS00035,22F,Contact035 Sample,+91-9100000035
B1035,SP0001,6F251,2025-08-21 11:37:36.951,PENDING,SAMPLEPASS00036,11D,Contact036 Sample,+91-9100000036
B1036,SP0001,SJ149,2025-11-24 11:37:36.951,PENDING,SAMPLEPASS00037,5B,Contact037 Sample,+91-9100000037
B1037,SP0001,AI188,2026-03-20 11:37:36.951,PENDING,SAMPLEPASS00038,33E,Contact038 Sample,+91-9100000038
B1038,SP0001,SJ093,2026-01-01 11:37:36.951,PENDING,SAMPLEPASS00039,12D,Contact039 Sample,+91-9100000039
B1039,SP0001,SJ205,2025-08-21 11:37:36.951,CONFIRMED,SAMPLEPASS00040,11E,Contact040 Sample,+91-9100000040
B1040,SP0001,6F099,2025-08-08 11:37:36.951,CONFIRMED,SAMPLEPASS00041,26B,Contact041 Sample,+91-9100000041
B1041,SP0043,UK176,2025-05-28 11:37:36.951,CONFIRMED,SAMPLEPASS00042,25C,Contact042 Sample,+91-9100000042
B1042,SP0001,UK200,2025-12-02 11:37:36.951,CANCELLED,SAMPLEPASS00043,24F,Contact043 Sample,+91-9100000043
B1043,SP0001,6F195,2025-11-22 11:37:36.951,CANCELLED,SAMPLEPASS00044,8E,Contact044 Sample,+91-9100000044
B1044,SP0001,6F174,2026-04-12 11:37:36.951,PENDING,SAMPLEPASS00045,16C,Contact045 Sample,+91-9100000045
B1045,SP0059,SJ214,2026-03-19 11:37:36.951,,SAMPLEPASS00046,18C,Contact046 Sample,+91-9100000046
B1046,SP0001,UK059,2025-10-14 11:37:36.951,CONFIRMED,SAMPLEPASS00047,2C,Contact047 Sample,+91-9100000047
B1047,SP0001,6F151,2025-12-29 11:37:36.951,PENDING,SAMPLEPASS00048,7C,Contact048 Sample,+91-9100000048
B1048,SP0001,SJ236,2025-09-19 11:37:36.951,PENDING,SAMPLEPASS00049,18C,Contact049 Sample,+91-9100000049
B1049,SP0074,SJ153,2025-07-28 11:37:36.951,INVALID,SAMPLEPASS00050,3C,Contact050 Sample,+91-9100000050
B1050,SP0001,AI220,2026-01-15 11:37:36.951,PENDING,SAMPLEPASS00051,7D,Contact051 Sample,+91-9100000051
B1051,SP0001,6F028,2025-07-05 11:37:36.951,CANCELLED,SAMPLEPASS00052,16A,Contact052 Sample,+91-9100000052
B1052,SP0134,UK209,2025-12-30 11:37:36.951,CANCELLED,SAMPLEPASS00053,33B,Contact053 Sample,+91-9100000053
B1053,SP0001,UK216,2026-04-01 11:37:36.951,PENDING,SAMPLEPASS00054,28B,Contact054 Sample,+91-9100000054
B1054,SP0001,AI132,2026-04-11 11:37:36.951,CANCELLED,SAMPLEPASS00055,19C,Contact055 Sample,+91-9100000055
B1055,SP0001,6F012,2025-10-14 11:37:36.951,CANCELLED,SAMPLEPASS00056,13F,Contact056 Sample,+91-9100000056
B1056,SP0001,UK173,2026-03-24 11:37:36.951,CANCELLED,SAMPLEPASS00057,15B,Contact057 Sample,+91-9100000057
B1057,SP0001,SJ047,2025-08-20 11:37:36.951,CANCELLED,SAMPLEPASS00058,14F,Contact058 Sample,+91-9100000058
B1058,SP0001,SJ043,2025-12-07 11:37:36.951,PENDING,SAMPLEPASS00059,8C,Contact059 Sample,+91-9100000059
B1059,SP0130,UK140,2026-01-03 11:37:36.951,CONFIRMED,SAMPLEPASS00060,23B,Contact060 Sample,+91-9100000060
B1060,SP0068,6F086,2025-12-30 11:37:36.951,CONFIRMED,SAMPLEPASS00061,11A,Contact061 Sample,+91-9100000061
B1061,SP0006,6F114,2026-04-05 11:37:36.951,CANCELLED,SAMPLEPASS00062,19C,Contact062 Sample,+91-9100000062
B1062,SP0001,UK153,2025-06-12 11:37:36.951,CANCELLED,SAMPLEPASS00063,15D,Contact063 Sample,+91-9100000063
B1063,SP0001,6F149,2025-05-19 11:37:36.951,CANCELLED,SAMPLEPASS00064,9A,Contact064 Sample,+91-9100000064
B1064,SP0001,UK145,2025-09-14 11:37:36.951,CONFIRMED,SAMPLEPASS00065,24E,Contact065 Sample,+91-9100000065
B1065,SP0001,UK010,2026-03-06 11:37:36.951,CANCELLED,SAMPLEPASS00066,7B,Contact066 Sample,+91-9100000066
B1066,SP0001,SJ003,2025-11-05 11:37:36.951,PENDING,SAMPLEPASS00067,1B,Contact067 Sample,+91-9100000067
B1067,SP0001,SJ160,2025-07-23 11:37:36.951,PENDING,SAMPLEPASS00068,7F,Contact068 Sample,+91-9100000068
B1068,SP0001,UK224,2025-11-22 11:37:36.951,PENDING,SAMPLEPASS00069,23A,Contact069 Sample,+91-9100000069
B1069,SP0083,UK152,2025-08-02 11:37:36.951,CONFIRMED,SAMPLEPASS00070,16E,Contact070 Sample,+91-9100000070
B1071,SP0002,UK215,2025-12-21 11:37:36.951,CANCELLED,SAMPLEPASS00071,15F,Contact071 Sample,+91-9100000071
B1072,SP0001,UK089,2025-08-10 11:37:36.951,CANCELLED,SAMPLEPASS00072,18F,Contact072 Sample,+91-9100000072
B1075,SP0001,UK131,2026-01-03 11:37:36.951,CONFIRMED,SAMPLEPASS00073,2F,Contact073 Sample,+91-9100000073
B1076,SP0105,UK055,2025-05-04 11:37:36.951,CONFIRMED,SAMPLEPASS00074,12B,Contact074 Sample,+91-9100000074
B1077,SP0001,UK181,2025-05-03 11:37:36.951,PENDING,SAMPLEPASS00075,3A,Contact075 Sample,+91-9100000075
B1080,SP0001,SJ023,2025-06-05 11:37:36.951,CONFIRMED,SAMPLEPASS00076,22D,Contact076 Sample,+91-9100000076
B1081,SP0001,SJ202,2025-11-13 11:37:36.951,CANCELLED,SAMPLEPASS00077,29C,Contact077 Sample,+91-9100000077
B1082,SP0001,SJ150,2025-09-09 11:37:36.951,CANCELLED,SAMPLEPASS00078,30A,Contact078 Sample,+91-9100000078
B1083,SP0001,SJ116,2025-05-12 11:37:36.951,CANCELLED,SAMPLEPASS00079,9A,Contact079 Sample,+91-9100000079
B1084,SP0001,6F270,2025-06-14 11:37:36.951,PENDING,SAMPLEPASS00080,16E,Contact080 Sample,+91-9100000080
B1085,SP0122,UK150,2026-03-24 11:37:36.951,PENDING,SAMPLEPASS00081,12A,Contact081 Sample,+91-9100000081
B1086,SP0001,SJ237,2026-02-16 11:37:36.951,CONFIRMED,SAMPLEPASS00082,5D,Contact082 Sample,+91-9100000082
B1087,SP0001,AI221,2025-05-08 11:37:36.951,CANCELLED,SAMPLEPASS00083,2F,Contact083 Sample,+91-9100000083
B1088,SP0001,SJ081,2026-03-25 11:37:36.951,PENDING,SAMPLEPASS00084,31A,Contact084 Sample,+91-9100000084
B1090,SP0001,SJ068,2025-05-16 11:37:36.951,PENDING,SAMPLEPASS00085,31C,Contact085 Sample,+91-9100000085
B1091,SP0001,6F043,2025-08-18 11:37:36.951,PENDING,SAMPLEPASS00086,25D,Contact086 Sample,+91-9100000086
B1092,SP0047,UK187,2026-03-18 11:37:36.951,CONFIRMED,SAMPLEPASS00087,16D,Contact087 Sample,+91-9100000087
B1093,SP0001,UK074,2025-05-11 11:37:36.951,CONFIRMED,SAMPLEPASS00088,25E,Contact088 Sample,+91-9100000088
B1094,SP0001,UK004,2026-01-07 11:37:36.951,PENDING,SAMPLEPASS00089,24C,Contact089 Sample,+91-9100000089
B1095,SP0001,6F194,2025-07-30 11:37:36.951,CONFIRMED,SAMPLEPASS00090,14B,Contact090 Sample,+91-9100000090
B1096,SP0001,UK068,2026-01-03 11:37:36.951,PENDING,SAMPLEPASS00091,12B,Contact091 Sample,+91-9100000091
B1100,SP0001,UK077,2026-03-05 11:37:36.951,CONFIRMED,SAMPLEPASS00092,16D,Contact092 Sample,+91-9100000092
B1103,SP0001,AI242,2025-08-08 11:37:36.951,CANCELLED,SAMPLEPASS00093,20D,Contact093 Sample,+91-9100000093
B1104,SP0001,AI242,2025-09-12 11:37:36.951,CANCELLED,SAMPLEPASS00094,16E,Contact094 Sample,+91-9100000094
B1106,SP0001,UK063,2025-09-01 11:37:36.951,CONFIRMED,SAMPLEPASS00095,21F,Contact095 Sample,+91-9100000095
B1108,SP0001,UK207,2025-10-11 11:37:36.951,CANCELLED,SAMPLEPASS00096,14B,Contact096 Sample,+91-9100000096
B1114,SP0001,6F123,2025-09-26 11:37:36.951,CANCELLED,SAMPLEPASS00097,2E,Contact097 Sample,+91-9100000097
B1118,SP0001,UK109,2026-04-03 11:37:36.951,CONFIRMED,SAMPLEPASS00098,34B,Contact098 Sample,+91-9100000098
B1123,SP0001,6F097,2025-09-23 11:37:36.951,CONFIRMED,SAMPLEPASS00099,8A,Contact099 Sample,+91-9100000099
B1126,SP0120,AI072,2025-10-20 11:37:36.951,CONFIRMED,SAMPLEPASS00100,10E,Contact100 Sample,+91-9100000100
